,pred_label,recall,balanced_accuracy,top_5_features,model
0,intra day underperformance,0.7763713080168776,0.6476793248945147,"['neutral', 'negative', 'positive']",RFModel
1,in-week underperformance,0.7866108786610879,0.6255230125523012,"['positive', 'negative', 'neutral']",RFModel
2,in-month underperformance,0.7433628318584071,0.6017699115044248,"['negative', 'positive', 'neutral']",RFModel
0,intra day underperformance,0.7679324894514767,0.609704641350211,"['positive', 'neutral', 'negative']",XGBoost
1,in-week underperformance,0.6903765690376569,0.5648535564853556,"['positive', 'neutral', 'negative']",XGBoost
2,in-month underperformance,0.7566371681415929,0.5730088495575221,"['positive', 'neutral', 'negative']",XGBoost
0,intra day underperformance,0.5738396624472574,0.5759493670886076,"['negative', 'positive', 'neutral']",Logreg
1,in-week underperformance,0.5313807531380753,0.5585774058577406,"['negative', 'neutral', 'positive']",Logreg
2,in-month underperformance,0.5619469026548672,0.5774336283185841,"['negative', 'positive', 'neutral']",Logreg
