Price,employees,CEO_age,intra_day_up,intra_week_up,intra_month_up,Symbol,ipoDate,sector,IPO_weekday,firstday_volume,inweek_volume,inmonth_volume,SP500_lastweek_return
9.5,3000.0,54.0,0,0,1,SPWH,2014-04-17,Consumer Cyclical,3,5561366.0,1576874.0999999999,6114637.6559999995,0.0010533687108960712
10.0,4204.0,57.46021093000968,0,0,0,LEJU,2014-04-17,Real Estate,3,8978030.0,4521335.2601,13111179.838599997,0.0010533687108960712
25.0,470.0,63.0,1,1,1,MC,2014-04-16,Financial Services,2,4441719.0,1071000.651,3490499.780400001,0.0013943259767060631
15.0,840.0,52.0,0,0,1,PAYC,2014-04-15,Technology,1,3531656.0,1025896.2489999998,3122570.2338999994,-0.0016397601594171046
12.5,0.0,46.0,1,1,1,CIO,2014-04-15,Real Estate,1,379110.0,247268.53199999995,609052.8732999997,-0.0016397601594171046
17.0,2043.0,57.46021093000968,0,0,0,WB,2014-04-14,Technology,0,32797414.0,40773159.5199,85326700.21099997,-0.004396130987551872
15.0,1129.0,75.0,0,0,0,PAHC,2014-04-11,Healthcare,4,4251095.0,999879.8100000003,3538105.7754999995,-0.005730950489914756
14.0,2.0,60.0,1,1,1,FPI,2014-04-11,Real Estate,4,1237398.0,406996.85000000015,944295.8870000005,-0.005730950489914756
20.0,0.0,64.0,1,1,1,ENBL,2014-04-11,Energy,4,18278237.0,3667630.3400000017,12736275.226400003,-0.005730950489914756
16.0,22.0,58.0,1,1,0,ADMS,2014-04-10,Healthcare,3,2331496.0,329390.67010000016,1932244.1469999994,-0.003968078989268938
25.0,7100.0,49.0,1,1,0,ALLY,2014-04-10,Financial Services,3,531340.0,360114.7424000001,719023.3847999964,-0.003968078989268938
26.0,680.0,46.0,0,0,0,GRUB,2014-04-04,Technology,4,10970081.0,4914584.875000001,16935421.5898,0.0009847396198711905
7.0,533.0,49.0,0,0,1,FIVN,2014-04-04,Technology,4,5521156.0,1869254.8600000006,6542474.459999998,0.0009847396198711905
9.0,3104.0,51.0,0,0,1,TEDU,2014-04-03,Consumer Defensive,3,12003950.0,8972913.5724,22530050.617299996,0.0017757350829744928
15.0,344.0,60.0,0,0,1,RUBI,2014-04-02,Technology,2,8471172.0,2365173.8103,8036648.400500002,0.0025657908123311985
8.0,5.0,65.0,1,0,0,PIH,2014-04-01,Financial Services,1,634106.0,587480.9102,1077564.0629999996,0.001463214157297697
6.0,13.0,59.0,0,0,0,RESN,2014-05-29,Technology,3,478896.0,235823.41190000004,766120.3253999996,0.00263845243104193
18.5,98.0,40.0,0,0,0,PE,2014-05-23,Energy,4,22290720.0,7976339.915999999,39521896.6479,0.0009226096068248868
