,pred_label,recall,balanced_accuracy,top_5_features,model
0,intra day underperformance,0.7679324894514767,0.7911392405063291,"['employees', 'SP500_lastweek_return', 'CEO_age', 'neutral', 'positive']",RFModel
1,in-week underperformance,0.7238493723849372,0.7489539748953975,"['employees', 'firstday_volume', 'SP500_lastweek_return', 'CEO_age', 'positive']",RFModel
2,in-month underperformance,0.7256637168141593,0.7566371681415929,"['employees', 'firstday_volume', 'inweek_volume', 'SP500_lastweek_return', 'CEO_age']",RFModel
0,intra day underperformance,0.7552742616033755,0.7573839662447257,"['sector_Other', 'sector_Communication Services', 'sector_Public Utilities', 'sector_Real Estate', 'sector_Health Care']",XGBoost
1,in-week underperformance,0.7824267782426778,0.7405857740585774,"['sector_Other', 'sector_Utilities', 'sector_Basic Industries', 'sector_Real Estate', 'IPO_weekday_1']",XGBoost
2,in-month underperformance,0.6902654867256637,0.7300884955752212,"['sector_Other', 'sector_Real Estate', 'sector_Healthcare', 'sector_Miscellaneous', 'sector_Capital Goods']",XGBoost
0,intra day underperformance,0.540084388185654,0.6624472573839661,"['sector_Real Estate', 'sector_Other', 'employees', 'sector_Health Care', 'sector_Transportation']",Logreg
1,in-week underperformance,0.5397489539748954,0.6589958158995817,"['sector_Other', 'sector_Transportation', 'sector_Basic Industries', 'sector_Real Estate', 'employees']",Logreg
2,in-month underperformance,0.6238938053097345,0.6792035398230089,"['sector_Other', 'sector_Basic Materials', 'sector_Transportation', 'sector_Real Estate', 'sector_Basic Industries']",Logreg
